Date,Group_24
1945-03,0.10532625000000001
1945-04,0.025813750000000007
1945-05,0.0798425
1945-06,-0.03905625
1945-07,0.04873750000000001
1945-08,0.14148
1945-09,0.11153374999999999
1945-10,0.13678125000000002
1945-11,0.048306249999999995
1945-12,0.12951375
1946-01,-0.06766375
1946-02,0.05764000000000001
1946-03,0.09285625
1946-04,0.014506250000000002
1946-05,-0.06531
1946-06,-0.033453750000000004
1946-07,-0.07095125000000001
1946-08,-0.1360075
1946-09,-0.03490625
1946-10,0.0012649999999999996
1946-11,0.03700375
1946-12,-0.04715500000000001
1947-01,-0.01469625
1947-02,-0.008040000000000005
1947-03,-0.04015875000000001
1947-04,-0.014988750000000007
1947-05,0.07755999999999999
1947-06,0.03912375
1947-07,-0.026147500000000004
1947-08,0.03760375
